title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Service history
PEUGEOT 207,1299,87000,2008,5,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,
BMW 3 SERIES,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,
KIA SPORTAGE,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5,Euro 6,
FORD FIESTA,1389,117000,2005,,Diesel,Hatchback,1.4L,Manual,5,5,Euro 4,
VOLKSWAGEN GOLF,1895,136331,2005,4,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
MERCEDES-BENZ B CLASS,2275,125200,2006,5,Petrol,MPV,1.7L,Automatic,5,5,Euro 4,
HONDA LEGEND,3000,94000,2001,2,Petrol,Saloon,3.5L,Automatic,4,5,Euro 2,
BMW 3 SERIES,6700,105000,1999,7,Petrol,Coupe,2.5L,Manual,2,,Euro 2,
VOLKSWAGEN GOLF PLUS,3799,81000,2010,2,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,Full
VAUXHALL CORSA,5995,64992,2015,,Petrol,Hatchback,1.4L,Manual,3,5,Euro 6,Full
DACIA SANDERO,3400,62000,2016,3,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,
FORD FIESTA,3499,81000,2011,5,Petrol,Hatchback,1.3L,Manual,5,5,Euro 5,
VOLKSWAGEN GOLF,2750,150662,2009,1,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,Full
VOLKSWAGEN POLO,2495,149000,2010,1,Diesel,Hatchback,1.2L,Manual,5,5,Euro 5,
SKODA FABIA,6900,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5,5,Euro 6,
SKODA FABIA,6900,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5,5,Euro 6,
VAUXHALL CORSA,2240,55000,2014,4,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,
VAUXHALL ZAFIRA,1950,116700,2010,4,Petrol,MPV,1.6L,Manual,5,7,Euro 4,Full
MERCEDES-BENZ E CLASS,4000,95257,2011,3,Diesel,Saloon,2.1L,Automatic,4,5,Euro 5,
BMW 3 SERIES,2999,106708,2008,5,Petrol,Convertible,2.0L,Manual,2,4,Euro 4,
FORD FOCUS,2100,90207,2009,3,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
HYUNDAI I20,2499,81585,2009,,Petrol,Hatchback,1.2L,Manual,5,5,Euro 4,
VAUXHALL INSIGNIA,1990,115000,2009,5,Petrol,Hatchback,1.8L,Manual,5,5,Euro 5,Full
VAUXHALL MERIVA,4250,91500,2015,3,Diesel,MPV,1.7L,Automatic,5,5,Euro 5,
FORD FOCUS,4300,81426,2014,6,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 5,
VOLKSWAGEN POLO,5500,76221,2013,3,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,
FORD FOCUS,2950,105000,2011,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,
SKODA FABIA,6900,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5,5,Euro 6,
PEUGEOT 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5,Euro 6,
VAUXHALL CORSA,2995,103000,2013,,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,
BMW 3 SERIES,5500,65000,2011,2,Diesel,Estate,2.0L,Manual,5,5,Euro 5,
VOLKSWAGEN GOLF,2995,109886,2009,3,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,
PEUGEOT 308,8799,36000,2016,,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,Full
NISSAN ELGRAND,4200,96000,2017,3,Petrol,Minibus,2.0L,Automatic,,7,,
VAUXHALL CORSA,2440,113790,2013,2,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,
MINI HATCH,6995,70752,2010,,Petrol,Hatchback,1.6L,Manual,3,4,Euro 5,
NISSAN JUKE,5990,69000,2013,2,Petrol,SUV,1.6L,Manual,5,5,Euro 5,
HONDA CIVIC,2495,138000,2008,,Petrol,Hatchback,1.8L,Manual,3,5,Euro 4,
VAUXHALL CORSA,2395,79987,2011,,Petrol,Hatchback,1.2L,Automatic,3,5,Euro 5,
HYUNDAI I30,1750,130000,2010,4,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,
PEUGEOT 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5,Euro 6,
PEUGEOT 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5,Euro 6,
SEAT IBIZA,3949,95000,2010,,Petrol,Hatchback,1.4L,Automatic,3,5,Euro 5,
MITSUBISHI COLT,1795,70000,2007,,Petrol,Hatchback,1.1L,Manual,3,5,Euro 4,
SKODA SUPERB,5999,82000,2011,4,Petrol,Estate,1.8L,Manual,5,5,Euro 5,Full
AUDI A4,4995,68157,2010,3,Petrol,Saloon,1.8L,Manual,4,5,Euro 4,
MERCEDES-BENZ A CLASS,13495,58383,2016,,Diesel,Hatchback,2.1L,Automatic,5,5,Euro 6,
VAUXHALL ASTRA,2750,137000,2007,1,Petrol,Hatchback,2.0L,Manual,3,5,Euro 4,
TOYOTA YARIS,5480,52624,2013,1,Petrol,Hatchback,1.3L,Automatic,5,5,,
VAUXHALL CORSA,9820,31584,2018,2,Petrol,Hatchback,1.4L,Automatic,5,5,Euro 6,Full
MAZDA MAZDA6,3250,128000,2008,,Petrol,Hatchback,2.0L,Automatic,5,5,Euro 4,Full
FORD FOCUS,2495,90000,2003,2,Petrol,Hatchback,2.0L,Automatic,5,5,Euro 3,
PEUGEOT 207,999,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,
MINI HATCH,10000,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4,Euro 6,
BMW 3 SERIES,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,
PEUGEOT 508,7490,96000,2016,,Diesel,Saloon,1.6L,Manual,4,5,Euro 6,Full
FIAT 500,3745,81000,2012,,Petrol,Hatchback,1.2L,Manual,3,4,Euro 5,Full
VAUXHALL CORSA,1800,102000,2010,,Petrol,Hatchback,1.4L,Manual,3,5,Euro 5,
VAUXHALL CORSA,12000,20413,2020,,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,
VOLKSWAGEN GOLF,3495,82000,2007,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,Full
BMW X5,6450,95000,2007,,Diesel,SUV,3.0L,Automatic,5,5,Euro 4,
VOLKSWAGEN EOS,4000,89600,2006,5,Petrol,Convertible,3.2L,Automatic,2,4,Euro 4,
FORD FOCUS,2200,147601,2005,,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 4,
BMW 3 SERIES,5999,112000,2004,5,Petrol,Coupe,3.0L,Automatic,2,5,Euro 3,Full
FORD FIESTA,3495,85000,2009,5,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,
VOLKSWAGEN POLO,3495,127000,2015,,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,
PEUGEOT 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5,Euro 6,
KIA SPORTAGE,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5,Euro 6,
FORD FIESTA,2395,96651,2011,1,Petrol,Hatchback,1.3L,Manual,3,5,Euro 5,Full
MINI HATCH,5950,105500,2012,1,Petrol,Hatchback,1.6L,Automatic,3,4,Euro 5,
FORD MONDEO,2495,42000,2008,,Petrol,Hatchback,2.0L,Manual,5,5,Euro 4,
BMW 3 SERIES,3995,105202,2006,8,Petrol,Coupe,3.0L,Automatic,2,5,Euro 4,
TOYOTA COROLLA,2145,57000,2004,5,Petrol,Hatchback,1.6L,Manual,3,5,Euro 4,
SKODA FABIA,2500,33000,2005,3,Petrol,Hatchback,1.4L,Automatic,5,5,Euro 4,
SKODA RAPID SPACEBACK,6699,81000,2015,2,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,
CHRYSLER YPSILON,2250,100000,2012,4,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,
AUDI A5,14299,50000,2015,,Diesel,Coupe,2.0L,Manual,2,4,Euro 6,
LAND ROVER RANGE ROVER EVOQUE,19698,49068,2019,,Diesel,SUV,2.0L,Manual,5,5,Euro 6,
FORD FOCUS,798,140599,2008,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
PEUGEOT 308,9149,55301,2016,,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,
PEUGEOT 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5,Euro 6,
VOLKSWAGEN GOLF,5300,49400,2010,3,Diesel,Hatchback,2.0L,Manual,5,5,Euro 5,Full
SAAB 900,5995,157000,1992,5,Petrol,Convertible,2.0L,Manual,2,,Euro 1,
MERCEDES-BENZ C CLASS,4495,100000,2008,1,Petrol,Saloon,1.8L,Automatic,4,5,Euro 4,
FORD FIESTA,2900,76438,2010,3,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
AUDI A3,4100,64800,2009,3,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
CITROEN C3,2399,70791,2006,,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 4,
BMW 7 SERIES,2600,189000,2008,5,Diesel,Saloon,3.0L,Automatic,4,5,Euro 4,
RENAULT SCENIC,2995,36878,2006,2,Petrol,MPV,1.6L,Automatic,5,5,Euro 4,
NISSAN JUKE,6399,68000,2014,2,Diesel,SUV,1.5L,Manual,5,5,Euro 5,Full
PEUGEOT 308,2999,84066,2011,4,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,
FORD FOCUS,2950,105000,2011,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,
FORD FOCUS,8975,86500,2017,,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,
FORD FOCUS,8975,86500,2017,,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,
VAUXHALL CORSA,3850,74000,2009,3,Petrol,Hatchback,1.4L,Automatic,5,5,Euro 4,
TOYOTA YARIS,3250,62000,2007,,Petrol,Hatchback,1.3L,Manual,5,5,Euro 4,
HONDA ACCORD,2497,118000,2005,2,Petrol,Saloon,2.4L,Automatic,4,5,Euro 4,
MAZDA MAZDA3,3499,36000,2006,1,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
MITSUBISHI ASX,4495,124000,2013,3,Petrol,SUV,1.6L,Manual,5,5,Euro 5,
MERCEDES-BENZ A CLASS,5500,97000,2015,4,Diesel,Hatchback,1.5L,Manual,5,5,Euro 5,
MERCEDES-BENZ CLK,3800,104000,2006,,Petrol,Coupe,1.8L,Automatic,2,4,Euro 4,Full
TOYOTA AVENSIS,3785,106250,2008,,Petrol,Saloon,1.8L,Automatic,4,5,Euro 4,
BMW 1 SERIES,10799,63000,2016,2,Petrol,Hatchback,1.5L,Manual,3,5,Euro 6,
NISSAN QASHQAI+2,3999,71000,2011,2,Diesel,SUV,1.5L,Manual,5,7,Euro 5,
PEUGEOT 207,999,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,
FORD FOCUS,8975,86500,2017,,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,
PEUGEOT 308,9149,55301,2016,,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,
MINI HATCH,2100,132000,2006,7,Petrol,Hatchback,1.6L,Manual,3,4,Euro 4,
NISSAN MICRA,2395,96195,2006,,Petrol,Hatchback,1.4L,Automatic,5,5,Euro 4,Full
VOLKSWAGEN GOLF,3750,78656,2007,5,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
VOLKSWAGEN GOLF,1995,120000,2004,6,Petrol,Hatchback,2.0L,Manual,3,5,Euro 4,
VOLKSWAGEN BEETLE,1790,72370,2006,3,Petrol,Hatchback,1.4L,Manual,3,4,Euro 4,
FORD FOCUS,4950,32331,2014,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,Full
VOLKSWAGEN BEETLE,2495,1110100,2003,4,Petrol,Hatchback,2.0L,Automatic,3,4,Euro 4,
HONDA JAZZ,6750,33000,2013,,Petrol Hybrid,Hatchback,1.5L,Automatic,,5,,
FORD B-MAX,4990,114850,2015,1,Petrol,MPV,1.6L,Automatic,5,5,Euro 5,
FORD MONDEO,2500,121480,2007,3,Petrol,Hatchback,2.3L,Automatic,5,5,Euro 4,
SEAT IBIZA,2799,99061,2011,,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,
PEUGEOT 308,9149,55301,2016,,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,
FORD FOCUS,8975,86500,2017,,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,
FORD FOCUS,5500,62037,2014,2,Petrol,Hatchback,1.0L,Manual,5,5,Euro 5,
CHEVROLET SPARK,2495,45000,2012,4,Petrol,Hatchback,1.0L,Manual,5,5,Euro 5,
SUZUKI ALTO,2495,64269,2012,,Petrol,Hatchback,1.0L,Manual,5,4,Euro 5,Full
TOYOTA AYGO,2995,39000,2014,5,Petrol,Hatchback,1.0L,Manual,5,4,Euro 5,
HONDA CIVIC,2499,83000,2005,5,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 3,
RENAULT CLIO,5495,74653,2015,3,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,
FIAT 500,6740,22116,2015,1,Petrol,Hatchback,1.2L,Manual,3,4,Euro 6,
LEXUS IS 250,4895,106150,2007,,Petrol,Saloon,2.5L,Automatic,4,5,Euro 4,
VOLKSWAGEN POLO,6495,66000,2011,1,Petrol,Hatchback,1.2L,Automatic,5,5,,
VOLKSWAGEN GOLF,1250,110000,1996,,Petrol,Convertible,2.0L,Manual,2,,Euro 1,
VOLKSWAGEN POLO,3495,127000,2015,,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,
MERCEDES-BENZ A CLASS,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5,Euro 6,
FORD FOCUS,8975,86500,2017,,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,
VAUXHALL ASTRA,3995,75000,2013,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,Full
VOLKSWAGEN POLO,6450,53193,2011,,Petrol,Hatchback,1.2L,Automatic,,5,,
PEUGEOT 306,2695,25240,1997,3,Petrol,Hatchback,1.4L,Manual,5,5,Euro 2,
BMW 3 SERIES,4000,94000,2007,2,Petrol,Saloon,2.5L,Automatic,,,,
TOYOTA YARIS,1975,111555,2007,4,Petrol,Hatchback,1.8L,Manual,3,5,Euro 4,Full
PEUGEOT 208,5530,58700,2017,2,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,
FORD FIESTA,2289,120000,2012,,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,
TOYOTA YARIS,2495,121600,2008,4,Petrol,Hatchback,1.3L,Manual,5,5,Euro 4,Full
VOLKSWAGEN PHAETON,2889,98000,2006,,Petrol,Saloon,3.2L,Automatic,4,5,Euro 4,
VOLKSWAGEN POLO,3495,127000,2015,,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,
FORD FOCUS,8975,86500,2017,,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,
KIA SPORTAGE,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5,Euro 6,
FORD FIESTA,2490,77935,2008,4,Petrol,Hatchback,1.3L,Manual,5,5,Euro 4,
VOLKSWAGEN BEETLE,2490,84500,2009,,Petrol,Hatchback,1.6L,Manual,3,4,Euro 4,
HYUNDAI I30,4995,87000,2013,4,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,
VOLKSWAGEN GOLF,4450,96866,2011,2,Diesel,Hatchback,1.6L,Automatic,5,5,Euro 5,Full
LEXUS CT 200H,5950,140000,2011,6,Petrol Hybrid,Hatchback,1.8L,Automatic,5,5,Euro 5,
VAUXHALL ASTRA GTC,5699,58000,2014,,Petrol,Coupe,1.4L,Manual,3,5,Euro 5,Full
HYUNDAI IX35,5490,59858,2012,2,Diesel,SUV,1.7L,Manual,5,5,Euro 5,
FIAT 500,6599,55000,2015,,Petrol,Hatchback,1.2L,Manual,3,4,Euro 6,
VOLKSWAGEN POLO,5450,75818,2013,4,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,
FORD FIESTA,3230,90400,2012,1,Petrol,Hatchback,1.3L,Manual,5,5,Euro 5,
VAUXHALL CORSA,1950,93000,2012,4,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,
KIA SPORTAGE,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5,Euro 6,
BMW 3 SERIES,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,
KIA SPORTAGE,8490,50000,2014,1,Petrol,SUV,1.6L,Manual,5,5,Euro 5,Full
AUDI A3,6295,82147,2009,,Petrol,Hatchback,1.8L,Automatic,3,5,Euro 4,
TOYOTA YARIS,4690,30000,2008,1,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,
TOYOTA PRIUS,5949,145000,2016,3,Petrol Hybrid,Saloon,1.5L,Automatic,4,5,,
VOLKSWAGEN GOLF,2495,113400,2007,4,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,Full
AUDI A1,7995,50500,2012,,Petrol,Hatchback,,Automatic,3,4,,
NISSAN MURANO,4950,118000,2010,,Petrol,SUV,3.5L,Automatic,5,5,Euro 4,Full
AUDI A3,2249,125000,2005,3,Diesel,Hatchback,2.0L,Manual,5,5,Euro 4,
BMW 5 SERIES,7900,113000,2014,3,Diesel,Saloon,2.0L,Automatic,4,5,Euro 6,Full
VAUXHALL ASTRA,1975,100570,2005,2,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
VAUXHALL INSIGNIA,2950,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5,5,Euro 5,
BMW 3 SERIES,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,
MINI HATCH,10000,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4,Euro 6,
TOYOTA RAV4,3495,87738,2006,,Petrol,SUV,2.0L,Manual,5,5,Euro 4,
VOLKSWAGEN GOLF,3889,74100,2010,,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,
MINI HATCH,10000,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4,Euro 6,
FORD FIESTA,1480,70000,2004,,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,
PEUGEOT 208,3995,90000,2012,4,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,
MINI HATCH,7499,55750,2014,2,Petrol,Hatchback,1.2L,Manual,3,4,Euro 6,
SUZUKI SWIFT,2999,103310,2012,3,Petrol,Hatchback,1.2L,Manual,3,4,Euro 5,Full
BMW X5,13999,115000,2013,4,Diesel,SUV,3.0L,Automatic,5,5,Euro 6,Full
HONDA CIVIC,5000,93000,2014,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,Full
FIAT 500,2395,89701,2009,5,Petrol,Hatchback,1.2L,Manual,3,4,Euro 5,Full
FORD FOCUS,798,140599,2008,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
MINI HATCH,10000,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4,Euro 6,
PEUGEOT 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5,Euro 6,
FORD FIESTA,3395,92132,2010,5,Petrol,Hatchback,1.6L,Manual,3,5,Euro 4,
HONDA CIVIC,10000,41579,2016,,Petrol,Hatchback,1.4L,Manual,5,5,Euro 6,
HYUNDAI I30,3000,89321,2012,4,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,
AUDI A3,1350,126085,2003,6,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 4,
AUDI A3,4950,88000,2010,,Diesel,Hatchback,1.6L,Automatic,5,5,Euro 5,
VAUXHALL ASTRA,3990,91000,2014,2,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,
PEUGEOT 406,3000,67000,1998,5,Petrol,Coupe,3.0L,Automatic,2,4,Euro 2,
VAUXHALL ASTRA,3495,107504,2014,3,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,
KIA SPORTAGE,4950,104000,2010,1,Petrol,SUV,1.6L,Manual,5,5,Euro 5,Full
VOLKSWAGEN POLO,4490,49411,2007,4,Petrol,Hatchback,1.4L,Automatic,5,5,Euro 4,
PEUGEOT 207,1299,87000,2008,5,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,
BMW 3 SERIES,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,
KIA SPORTAGE,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5,Euro 6,
RENAULT MEGANE,3995,72000,2013,3,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,
BMW X1,7995,51000,2014,1,Diesel,SUV,2.0L,Automatic,5,5,Euro 5,Full
HONDA CIVIC,2300,49376,2006,2,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,
MERCEDES-BENZ C CLASS,12000,86000,2016,4,Diesel,Saloon,1.6L,Automatic,4,5,Euro 6,
BMW X5,3950,125000,2005,,Petrol,SUV,4.4L,Automatic,5,5,Euro 3,
VOLKSWAGEN GOLF,1949,96000,2001,,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 4,
BMW 3 SERIES,7200,71026,2012,,Diesel,Convertible,2.0L,Automatic,2,4,Euro 5,Full
SKODA OCTAVIA,3495,152544,2014,3,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,
VAUXHALL CORSA,3675,65000,2013,3,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,
MG MG3,8198,27649,2019,,Petrol,Hatchback,1.5L,Manual,5,5,Euro 6,
VOLKSWAGEN POLO,2495,149000,2010,1,Diesel,Hatchback,1.2L,Manual,5,5,Euro 5,
KIA SPORTAGE,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5,Euro 6,
HONDA CIVIC,9198,78691,2018,,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,
FORD FOCUS,5345,67000,2012,,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,
RENAULT CLIO,2695,79732,2010,,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,Full
JEEP RENEGADE,4500,113200,2015,2,Diesel,SUV,1.6L,Manual,5,5,Euro 5,
FIAT 500,4650,67300,2014,3,Petrol,Hatchback,1.2L,Manual,3,4,Euro 6,
NISSAN QASHQAI+2,4495,113000,2010,2,Petrol,SUV,1.6L,Manual,5,7,Euro 5,Full
MINI HATCH,3449,55000,2013,,Diesel,Hatchback,1.6L,Manual,3,4,Euro 5,
VOLKSWAGEN POLO,6900,35515,2012,,Petrol,Hatchback,1.2L,Automatic,,5,,
RENAULT MEGANE,4000,51100,2014,2,Diesel,Coupe,1.5L,Manual,3,5,Euro 5,Full
FORD FOCUS,4950,100000,2012,4,Petrol,Estate,1.6L,Automatic,5,5,Euro 5,Full
FIAT 500,6490,14700,2008,2,Petrol,Hatchback,1.2L,Automatic,3,4,Euro 6,
PEUGEOT 207,1299,87000,2008,5,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,
MINI HATCH,10000,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4,Euro 6,
KIA SPORTAGE,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5,Euro 6,
MAZDA MAZDA2,6995,54100,2016,2,Petrol,Hatchback,1.5L,Manual,5,5,Euro 6,
FORD KA,2795,83655,2012,2,Petrol,Hatchback,1.2L,Manual,3,4,Euro 5,
PEUGEOT 308,3550,74000,2013,3,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,
VAUXHALL ASTRA,3500,78000,2015,2,Petrol,Hatchback,1.6L,Manual,5,5,Euro 6,
VAUXHALL ASTRA,5700,79910,2016,2,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,Full
VAUXHALL CORSA,2950,82471,2011,4,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,
TOYOTA AURIS,3295,111695,2011,3,Petrol,Hatchback,1.3L,Manual,5,5,Euro 4,
HYUNDAI I20,4999,56700,2013,,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,
RENAULT SCENIC,2500,80000,2010,,Diesel,MPV,1.5L,Manual,5,5,Euro 4,
BMW 3 SERIES,6500,64000,2007,8,Petrol,Convertible,3.0L,Automatic,2,4,Euro 4,
PEUGEOT 207,999,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,
FORD FOCUS,8975,86500,2017,,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,
BMW 3 SERIES,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,
MAZDA MAZDA3,2350,77000,2008,4,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,Full
FORD FIESTA,4195,111535,2014,1,Petrol,Hatchback,1.0L,Manual,5,5,Euro 5,Full
BMW 3 SERIES,7200,71026,2012,,Diesel,Convertible,2.0L,Automatic,2,4,Euro 5,Full
LAND ROVER RANGE ROVER EVOQUE,8995,87000,2012,,Diesel,SUV,2.2L,Manual,5,5,Euro 5,
FIAT 500L,3800,64000,2013,2,Petrol,MPV,1.4L,Manual,5,5,Euro 6,
CHRYSLER GRAND VOYAGER,2950,106000,2006,4,Petrol,MPV,3.3L,Automatic,5,7,Euro 3,Full
MERCEDES-BENZ CLK,2500,108000,2009,2,Petrol,Convertible,3.5L,Automatic,2,4,Euro 4,
PEUGEOT 208,4889,52000,2015,,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,
RENAULT CLIO,8495,51878,2018,1,Petrol,Hatchback,0.9L,Manual,5,5,Euro 6,
BMW 4 SERIES,12000,55000,2016,,Petrol,Coupe,2.0L,Automatic,2,3,Euro 6,Full
VAUXHALL INSIGNIA,2950,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5,5,Euro 5,
BMW 3 SERIES,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,
VAUXHALL CORSA,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,
VOLKSWAGEN GOLF,2500,124000,1988,7,Petrol,Hatchback,1.8L,Automatic,5,5,,
VOLKSWAGEN GOLF PLUS,1789,100000,2007,,Diesel,Hatchback,1.9L,Manual,5,5,Euro 4,
MINI HATCH,7995,89000,2015,3,Petrol,Hatchback,2.0L,Automatic,3,4,Euro 6,
NISSAN JUKE,7999,37000,2016,,Petrol,SUV,1.2L,Manual,5,5,Euro 6,
LAND ROVER RANGE ROVER SPORT,3950,135000,2005,4,Petrol,SUV,4.4L,Automatic,5,5,Euro 3,
KIA SPORTAGE,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5,Euro 6,
HONDA CIVIC,2490,83000,2006,4,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,
NISSAN X-TRAIL,5995,108000,2015,1,Diesel,SUV,1.6L,Manual,5,5,Euro 5,
FORD FOCUS,2399,65700,2007,2,Petrol,Estate,1.6L,Manual,5,5,Euro 4,
HONDA ACCORD,5000,118000,2009,,Petrol,Saloon,2.4L,Automatic,4,5,Euro 5,
PEUGEOT 207,1299,87000,2008,5,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,
PEUGEOT 308,9149,55301,2016,,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,
PEUGEOT 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5,Euro 6,
